Job_Title,Average_Salary,Years_Experience,Education_Level,AI_Exposure_Index,Tech_Growth_Factor,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10
Data Analyst,75000,5,Bachelor's,0.75,1.2,0.85,0.75,0.65,0.70,0.80,0.60,0.55,0.75,0.70,0.65
Software Engineer,120000,8,Bachelor's,0.65,1.35,0.90,0.85,0.80,0.75,0.85,0.80,0.75,0.85,0.80,0.75
Customer Service Rep,45000,3,High School,0.85,0.90,0.55,0.60,0.70,0.50,0.45,0.60,0.55,0.50,0.55,0.60
Project Manager,95000,10,Master's,0.55,1.15,0.75,0.80,0.85,0.75,0.70,0.80,0.75,0.70,0.75,0.80
Marketing Specialist,68000,4,Bachelor's,0.70,1.25,0.70,0.75,0.65,0.80,0.75,0.70,0.65,0.70,0.75,0.65
Financial Analyst,82000,6,Bachelor's,0.72,1.10,0.80,0.75,0.70,0.85,0.80,0.75,0.70,0.75,0.80,0.70
HR Manager,88000,12,Master's,0.60,1.05,0.70,0.75,0.80,0.65,0.70,0.75,0.80,0.70,0.75,0.70
Sales Representative,62000,5,Bachelor's,0.68,1.00,0.65,0.70,0.75,0.60,0.65,0.70,0.60,0.65,0.70,0.65
Graphic Designer,58000,4,Bachelor's,0.78,1.30,0.85,0.80,0.75,0.70,0.80,0.75,0.70,0.75,0.80,0.75
Accountant,71000,7,Bachelor's,0.76,1.08,0.75,0.70,0.80,0.85,0.75,0.70,0.80,0.75,0.70,0.80
Data Scientist,135000,6,PhD,0.70,1.40,0.95,0.90,0.85,0.80,0.90,0.85,0.80,0.90,0.85,0.80
Nurse,68000,10,Bachelor's,0.45,0.95,0.65,0.70,0.75,0.60,0.55,0.70,0.75,0.60,0.65,0.70
Teacher,52000,15,Master's,0.50,0.85,0.60,0.65,0.70,0.55,0.60,0.65,0.70,0.60,0.65,0.60
Mechanical Engineer,92000,8,Bachelor's,0.62,1.20,0.80,0.85,0.75,0.80,0.85,0.75,0.70,0.80,0.75,0.80
Content Writer,48000,3,Bachelor's,0.82,1.28,0.70,0.75,0.65,0.60,0.70,0.65,0.60,0.70,0.65,0.60
DevOps Engineer,128000,7,Bachelor's,0.68,1.38,0.90,0.85,0.90,0.85,0.90,0.85,0.80,0.90,0.85,0.85
Legal Assistant,55000,5,Bachelor's,0.74,1.05,0.65,0.70,0.75,0.70,0.65,0.70,0.75,0.65,0.70,0.65
UX Designer,95000,6,Bachelor's,0.66,1.32,0.85,0.80,0.75,0.85,0.80,0.75,0.80,0.85,0.80,0.75
Business Analyst,78000,5,Bachelor's,0.71,1.18,0.75,0.80,0.70,0.75,0.80,0.70,0.75,0.75,0.80,0.70
Administrative Assistant,42000,8,High School,0.88,0.92,0.50,0.55,0.60,0.55,0.50,0.55,0.60,0.50,0.55,0.60
Product Manager,115000,9,Master's,0.58,1.25,0.80,0.85,0.80,0.75,0.85,0.80,0.75,0.80,0.85,0.80
Medical Doctor,195000,20,PhD,0.35,0.90,0.75,0.80,0.85,0.70,0.65,0.80,0.85,0.70,0.75,0.80
Web Developer,85000,5,Bachelor's,0.72,1.35,0.85,0.80,0.85,0.80,0.85,0.80,0.75,0.85,0.80,0.80
Electrician,62000,12,High School,0.55,0.98,0.60,0.65,0.70,0.65,0.60,0.65,0.70,0.60,0.65,0.60
Research Scientist,108000,10,PhD,0.64,1.22,0.85,0.90,0.80,0.85,0.90,0.80,0.85,0.85,0.90,0.80
Supply Chain Manager,96000,11,Master's,0.69,1.12,0.75,0.80,0.75,0.80,0.75,0.80,0.75,0.75,0.80,0.75
Paralegal,58000,6,Bachelor's,0.79,1.07,0.70,0.75,0.70,0.75,0.70,0.75,0.70,0.70,0.75,0.70
Database Administrator,98000,9,Bachelor's,0.67,1.28,0.85,0.80,0.85,0.80,0.85,0.80,0.85,0.85,0.80,0.85
Social Media Manager,64000,4,Bachelor's,0.77,1.30,0.75,0.70,0.65,0.80,0.75,0.70,0.65,0.75,0.70,0.65
Quality Assurance Tester,72000,6,Bachelor's,0.75,1.20,0.75,0.80,0.70,0.75,0.80,0.70,0.75,0.75,0.80,0.70
